date,time,turn,room,format,winner,reason,corp,runner
20210204,21,9,casual,standard,corp,Agenda,Asa Group: Security Through Vigilance,Hoshiko Shiro: Untold Protagonist
20210204,12,9,casual,standard,corp,Flatline,Argus Security: Protection Guaranteed,Hoshiko Shiro: Untold Protagonist
20210204,17,14,casual,standard,runner,Agenda,Pālanā Foods: Sustainable Growth,Alice Merchant: Clan Agitator
20210204,28,12,casual,standard,runner,Agenda,Sportsmetal: Go Big or Go Home,Valencia Estevez: The Angel of Cayambe
20210204,15,7,casual,standard,runner,Agenda,AgInfusion: New Miracles for a New World,"Rielle ""Kit"" Peddler: Transhuman"
20210204,34,14,casual,standard,corp,Flatline,Weyland Consortium: Building a Better World,Leela Patel: Trained Pragmatist
20210204,9,8,casual,standard,runner,Agenda,Pālanā Foods: Sustainable Growth,"Ele ""Smoke"" Scovak: Cynosure of the Net"
20210204,4,2,casual,standard,corp,Flatline,Jinteki: Replicating Perfection,"Rielle ""Kit"" Peddler: Transhuman"
20210204,23,17,casual,standard,corp,Concede,Jinteki: Personal Evolution,"Rielle ""Kit"" Peddler: Transhuman"
20210204,16,9,casual,standard,corp,Agenda,Acme Consulting: The Truth You Need,Hoshiko Shiro: Untold Protagonist
20210204,22,17,casual,standard,runner,Agenda,Spark Agency: Worldswide Reach,Freedom Khumalo: Crypto-Anarchist
20210204,58,13,casual,casual,runner,Agenda,Haas-Bioroid: Stronger Together,"Rielle ""Kit"" Peddler: Transhuman"
20210204,12,5,casual,standard,corp,Flatline,Weyland Consortium: Building a Better World,Leela Patel: Trained Pragmatist
20210204,18,17,casual,standard,corp,Flatline,Jinteki: Replicating Perfection,Gabriel Santiago: Consummate Professional
20210204,57,28,casual,standard,corp,Agenda,Tennin Institute: The Secrets Within,419: Amoral Scammer
20210204,20,20,casual,standard,corp,Flatline,Jinteki: Replicating Perfection,Alice Merchant: Clan Agitator
20210204,23,17,casual,core-experience,runner,Concede,Haas-Bioroid: Stronger Together,Chaos Theory: Wünderkind
20210204,27,20,casual,standard,corp,Flatline,Pālanā Foods: Sustainable Growth,Freedom Khumalo: Crypto-Anarchist
20210204,4,3,casual,standard,,,Weyland Consortium: Builder of Nations,Reina Roja: Freedom Fighter
20210204,5,7,casual,standard,corp,Flatline,Jinteki Biotech: Life Imagined,Edward Kim: Humanity's Hammer
20210204,28,12,casual,standard,corp,Agenda,Argus Security: Protection Guaranteed,Hoshiko Shiro: Untold Protagonist
20210204,16,13,casual,standard,runner,Agenda,Titan Transnational: Investing In Your Future,419: Amoral Scammer
20210204,47,16,casual,standard,runner,Agenda,Harishchandra Ent.: Where You're the Star,Chaos Theory: Wünderkind
20210204,12,13,casual,standard,runner,Agenda,Jinteki: Replicating Perfection,Valencia Estevez: The Angel of Cayambe
20210204,11,12,casual,core-experience,corp,Agenda,Weyland Consortium: Building a Better World,Chaos Theory: Wünderkind
20210204,5,4,casual,standard,corp,Flatline,Harishchandra Ent.: Where You're the Star,Chaos Theory: Wünderkind
20210204,10,10,casual,standard,corp,Agenda,The Outfit: Family Owned and Operated,Freedom Khumalo: Crypto-Anarchist
20210204,9,12,casual,standard,corp,Agenda,Argus Security: Protection Guaranteed,Kabonesa Wu: Netspace Thrillseeker
20210204,27,12,casual,standard,corp,Flatline,Jinteki: Replicating Perfection,"Rielle ""Kit"" Peddler: Transhuman"
20210204,18,11,casual,standard,runner,Concede,Acme Consulting: The Truth You Need,"Ele ""Smoke"" Scovak: Cynosure of the Net"
20210204,13,8,casual,standard,corp,Concede,Asa Group: Security Through Vigilance,Sunny Lebeau: Security Specialist
20210204,11,13,casual,standard,corp,Agenda,Jinteki: Personal Evolution,Adam: Compulsive Hacker
20210204,38,14,casual,standard,runner,Agenda,Sportsmetal: Go Big or Go Home,Lat: Ethical Freelancer
20210204,10,10,casual,standard,corp,Agenda,The Outfit: Family Owned and Operated,419: Amoral Scammer
20210204,25,13,casual,standard,corp,Agenda,Earth Station: SEA Headquarters,"Rielle ""Kit"" Peddler: Transhuman"
20210204,46,19,casual,standard,runner,Agenda,Sportsmetal: Go Big or Go Home,Quetzal: Free Spirit
20210204,12,17,casual,standard,runner,Agenda,Jinteki: Replicating Perfection,Valencia Estevez: The Angel of Cayambe
20210204,9,10,casual,standard,corp,Agenda,Sportsmetal: Go Big or Go Home,Sunny Lebeau: Security Specialist
20210204,12,7,casual,standard,corp,Flatline,Jinteki: Replicating Perfection,"Rielle ""Kit"" Peddler: Transhuman"
20210204,20,17,casual,standard,runner,Agenda,The Outfit: Family Owned and Operated,Leela Patel: Trained Pragmatist
20210204,35,4,competitive,standard,runner,Agenda,Pālanā Foods: Sustainable Growth,Hayley Kaplan: Universal Scholar
20210204,16,14,casual,standard,corp,Agenda,Blue Sun: Powering the Future,Null: Whistleblower
20210204,11,14,casual,standard,runner,Concede,Earth Station: SEA Headquarters,419: Amoral Scammer
20210204,8,9,casual,standard,corp,Flatline,Jinteki: Replicating Perfection,Kabonesa Wu: Netspace Thrillseeker
20210204,11,10,casual,standard,runner,Agenda,Weyland Consortium: Builder of Nations,Valencia Estevez: The Angel of Cayambe
20210204,5,9,casual,standard,corp,Agenda,Jinteki: Personal Evolution,Edward Kim: Humanity's Hammer
20210204,23,16,casual,standard,corp,Concede,Jinteki: Replicating Perfection,419: Amoral Scammer
20210204,16,15,casual,standard,corp,Flatline,Jinteki: Replicating Perfection,Hoshiko Shiro: Untold Protagonist
20210204,9,11,casual,standard,runner,Agenda,Spark Agency: Worldswide Reach,Hoshiko Shiro: Untold Protagonist
20210204,71,26,casual,standard,runner,Agenda,Tennin Institute: The Secrets Within,Jesminder Sareen: Girl Behind the Curtain
20210204,8,9,casual,standard,corp,Flatline,The Outfit: Family Owned and Operated,Kabonesa Wu: Netspace Thrillseeker
20210204,20,22,casual,standard,corp,Agenda,Haas-Bioroid: Architects of Tomorrow,Alice Merchant: Clan Agitator
20210204,4,3,casual,standard,corp,Flatline,Jinteki: Replicating Perfection,419: Amoral Scammer
20210204,9,11,casual,standard,runner,Agenda,Weyland Consortium: Builder of Nations,Kabonesa Wu: Netspace Thrillseeker
20210204,17,8,casual,standard,corp,Flatline,Pālanā Foods: Sustainable Growth,Edward Kim: Humanity's Hammer
20210204,11,12,casual,standard,corp,Agenda,Sportsmetal: Go Big or Go Home,Valencia Estevez: The Angel of Cayambe
20210204,16,9,competitive,standard,corp,Agenda,Sportsmetal: Go Big or Go Home,Hoshiko Shiro: Untold Protagonist
20210204,17,12,casual,standard,runner,Agenda,Jinteki: Personal Evolution,Hoshiko Shiro: Untold Protagonist
20210204,19,14,casual,standard,corp,Flatline,Sportsmetal: Go Big or Go Home,Reina Roja: Freedom Fighter
