date,count
20180716,27
20180717,22
20180718,24
20180719,27
20180720,32
20180721,46
20180722,57
20180723,42
20180724,27
20180725,26
20180726,23
20180727,24
20180728,21
20180729,37
20180730,33
20180731,28
20180801,32
20180802,37
20180803,33
20180804,40
20180805,31
20180806,33
20180807,30
20180808,25
20180809,33
20180810,30
20180811,20
20180812,31
20180813,29
20180814,38
20180815,29
20180816,30
20180817,28
20180818,30
20180819,34
20180820,31
20180821,45
20180822,30
20180823,31
20180824,17
20180825,31
20180826,35
20180827,29
20180828,53
20180829,51
20180830,29
20180831,41
20180901,21
20180902,33
20180903,39
20180904,39
20180905,31
20180906,31
20180907,28
20180908,49
20180909,29
20180910,34
20180911,26
20180912,46
20180913,38
20180914,22
20180915,25
20180916,34
20180917,34
20180918,23
20180919,35
20180920,33
20180921,15
20180922,28
20180923,30
20180924,38
20180925,23
20180926,33
20180927,23
20180928,21
20180929,28
20180930,24
20181001,23
20181002,37
20181003,20
20181004,31
20181005,13
20181006,20
20181007,34
20181008,24
20181009,24
20181010,15
20181011,18
20181012,21
20181013,22
20181014,19
20181015,19
20181016,30
20181017,25
20181018,22
20181019,22
20181020,29
20181021,23
20181022,23
20181023,34
20181024,46
20181025,17
20181026,26
20181027,32
20181028,15
20181029,27
20181030,20
20181031,20
20181101,22
20181102,33
20181103,29
20181104,22
20181105,24
20181106,20
20181107,25
20181108,48
20181109,28
20181110,18
20181111,29
20181112,30
20181113,25
20181114,17
20181115,26
20181116,32
20181117,37
20181118,33
20181119,33
20181120,22
20181121,18
20181122,42
20181123,25
20181124,19
20181125,29
20181126,22
20181127,28
20181128,23
20181129,29
20181130,33
20181201,29
20181202,30
20181203,28
20181204,15
20181205,14
20181206,26
20181207,22
20181208,20
20181209,24
20181210,25
20181211,29
20181212,18
20181213,18
20181214,19
20181215,17
20181216,12
20181217,19
20181218,21
20181219,18
20181220,20
20181221,17
20181222,25
20181223,15
20181224,25
20181225,15
20181226,20
20181227,22
20181228,25
20181229,17
20181230,21
20181231,21
20190101,18
20190102,17
20190103,17
20190104,36
20190105,26
20190106,20
20190107,17
20190108,19
20190109,17
20190110,16
20190111,26
20190112,21
20190113,24
20190114,26
20190115,30
20190116,21
20190117,16
20190118,14
20190119,22
20190120,32
20190121,25
20190122,17
20190123,23
20190124,15
20190125,21
20190126,22
20190127,19
20190128,35
20190129,9
20190130,20
20190131,23
20190201,12
20190202,20
20190203,14
20190204,17
20190205,35
20190206,17
20190207,21
20190208,18
20190209,14
20190210,21
20190211,16
20190212,21
20190213,21
20190214,17
20190215,26
20190216,19
20190217,21
20190218,19
20190219,14
20190220,21
20190221,14
20190222,17
20190223,15
20190224,15
20190225,20
20190226,23
20190227,10
20190228,15
20190301,14
20190302,13
20190303,26
20190304,16
20190305,22
20190306,27
20190307,16
20190308,14
20190309,25
20190310,10
20190311,16
20190312,25
20190313,12
20190314,29
20190315,15
20190316,13
20190317,24
20190318,22
20190319,23
20190320,23
20190321,20
20190322,21
20190323,27
20190324,27
20190325,23
20190326,19
20190327,18
20190328,13
20190329,13
20190330,11
20190331,16
20190401,15
20190402,19
20190403,22
20190404,18
20190405,20
20190406,20
20190407,28
20190408,8
20190409,21
20190410,27
20190411,12
20190412,17
20190413,25
20190414,23
20190415,12
20190416,16
20190417,16
20190418,10
20190419,21
20190420,17
20190421,16
20190422,31
20190423,17
20190424,18
20190425,22
20190426,21
20190427,13
20190428,16
20190429,22
20190430,18
20190501,13
20190502,12
20190503,14
20190504,20
20190505,27
20190506,10
20190507,14
20190508,23
20190509,12
20190510,11
20190511,16
20190512,14
20190513,16
20190514,16
20190515,11
20190516,17
20190517,15
20190518,16
20190519,18
20190520,15
20190521,9
20190522,15
20190523,13
20190524,18
20190525,10
20190526,12
20190527,15
20190528,14
20190529,15
20190530,19
20190531,11
20190601,16
20190602,16
20190603,14
20190604,6
20190605,9
20190606,16
20190607,11
20190608,14
20190609,13
20190610,18
20190611,18
20190612,15
20190613,16
20190614,16
20190615,10
20190616,11
20190617,17
20190618,16
20190619,23
20190620,22
20190621,15
20190622,16
20190623,15
20190624,10
20190625,15
20190626,19
20190627,22
20190628,15
20190629,8
20190630,7
20190701,13
20190702,12
20190703,22
20190704,12
20190705,8
20190706,12
20190707,14
20190708,25
20190709,12
20190710,16
20190711,27
20190712,16
20190713,18
20190714,15
20190715,14
20190716,14
20190717,5
20190718,16
20190719,19
20190720,12
20190721,20
20190722,23
20190723,15
20190724,15
20190725,18
20190726,20
20190727,13
20190728,12
20190729,28
20190730,24
20190731,18
20190801,12
20190802,14
20190803,12
20190804,23
20190805,28
20190806,21
20190807,12
20190808,17
20190809,23
20190810,18
20190811,16
20190812,11
20190813,24
20190814,18
20190815,14
20190816,11
20190817,8
20190818,15
20190819,7
20190820,16
20190821,17
20190822,11
20190823,13
20190824,25
20190825,17
20190826,14
20190827,12
20190828,14
20190829,17
20190830,18
20190831,15
20190901,12
20190902,9
20190903,19
20190904,17
20190905,22
20190906,18
20190907,27
20190908,21
20190909,26
20190910,17
20190911,18
20190912,28
20190913,26
20190914,23
20190915,25
20190916,24
20190917,18
20190918,33
20190919,13
20190920,13
20190921,17
20190922,15
20190923,13
20190924,25
20190925,15
20190926,6
20190927,14
20190928,21
20190929,23
20190930,17
20191001,16
20191002,29
20191003,18
20191004,16
20191005,9
20191006,21
20191007,9
20191008,19
20191009,10
20191010,16
20191011,18
20191012,11
20191013,14
20191014,11
20191015,6
20191016,15
20191017,13
20191018,23
20191019,17
20191020,21
20191021,9
20191022,8
20191023,13
20191024,17
20191025,17
20191026,10
20191027,12
20191028,18
20191029,12
20191030,15
20191031,13
20191101,8
20191102,10
20191103,13
20191104,8
20191105,10
20191106,15
20191107,11
20191108,13
20191109,11
20191110,18
20191111,9
20191112,13
20191113,13
20191114,13
20191115,16
20191116,5
20191117,17
20191118,8
20191119,20
20191120,15
20191121,22
20191122,16
20191123,16
20191124,23
20191125,23
20191126,17
20191127,16
20191128,12
20191129,18
20191130,27
20191201,20
20191202,14
20191203,19
20191204,14
20191205,24
20191206,16
20191207,15
20191208,15
20191209,13
20191210,12
20191211,14
20191212,8
20191213,9
20191214,12
20191215,20
20191216,11
20191217,24
20191218,11
20191219,16
20191220,8
20191221,21
20191222,14
20191223,14
20191224,9
20191225,14
20191226,6
20191227,18
20191228,28
20191229,16
20191230,19
20191231,23
20200101,6
20200102,30
20200103,13
20200104,16
20200105,27
20200106,13
20200107,23
20200108,22
20200109,19
20200110,19
20200111,12
20200112,36
20200113,20
20200114,30
20200115,24
20200116,19
20200117,26
20200118,19
20200119,28
20200120,23
20200121,15
20200122,18
20200123,17
20200124,10
20200125,16
20200126,22
20200127,14
20200128,19
20200129,25
20200130,15
20200131,19
20200201,11
20200202,22
20200203,14
20200204,26
20200205,12
20200206,21
20200207,19
20200208,16
20200209,18
20200210,14
20200211,17
20200212,18
20200213,18
20200214,19
20200215,17
20200216,18
20200217,20
20200218,19
20200219,15
20200220,19
20200221,20
20200222,18
20200223,17
20200224,20
20200225,23
20200226,9
20200227,13
20200228,16
20200229,18
20200301,15
20200302,24
20200303,21
20200304,15
20200305,27
20200306,14
20200307,24
20200308,20
20200309,26
20200310,22
20200311,16
20200312,24
20200313,19
20200314,30
20200315,34
20200316,35
20200317,44
20200318,62
20200319,49
20200320,44
20200321,51
20200322,45
20200323,62
20200324,66
20200325,41
20200326,64
20200327,53
20200328,76
20200329,66
20200330,58
20200331,46
20200401,64
20200402,62
20200403,78
20200404,68
20200405,53
20200406,58
20200407,50
20200408,63
20200409,54
20200410,50
20200411,72
20200412,68
20200413,61
20200414,45
20200415,45
20200416,54
20200417,39
20200418,49
20200419,33
20200420,36
20200421,39
20200422,40
20200423,37
20200424,45
20200425,35
20200426,44
20200427,37
20200428,33
20200429,38
20200430,21
20200501,6
20200502,3
20200503,39
20200504,49
20200505,36
20200506,42
20200507,35
20200508,40
20200509,28
20200510,23
20200511,38
20200512,36
20200513,21
20200514,21
20200515,45
20200516,41
20200517,38
20200518,30
20200519,36
20200520,24
20200521,41
20200522,22
20200523,19
20200524,33
20200525,33
20200526,32
20200527,20
20200528,18
20200529,21
20200530,15
20200531,31
20200601,15
20200602,28
20200603,20
20200604,23
20200605,23
20200606,28
20200607,36
20200608,15
20200609,18
20200610,22
20200611,20
20200612,15
20200613,18
20200614,14
20200615,18
20200616,21
20200617,24
20200618,24
20200619,24
20200620,15
20200621,26
20200622,24
20200623,23
20200624,23
20200625,26
20200626,24
20200627,32
20200628,33
20200629,19
20200630,24
20200701,17
20200702,30
20200703,16
20200704,21
20200705,25
20200706,25
20200707,27
20200708,28
20200709,19
20200710,10
20200711,17
20200712,16
20200713,20
20200714,18
20200715,20
20200716,20
20200717,17
20200718,20
20200719,19
20200720,22
20200721,28
20200722,23
20200723,21
20200724,19
20200725,31
20200726,19
20200727,19
20200728,14
20200729,22
20200730,22
20200731,30
20200801,25
20200802,19
20200803,26
20200804,29
20200805,14
20200806,21
20200807,14
20200808,20
20200809,20
20200810,15
20200811,28
20200812,24
20200813,13
20200814,19
20200815,23
20200816,23
20200817,26
20200818,21
20200819,22
20200820,15
20200821,20
20200822,21
20200823,22
20200824,21
20200825,21
20200826,22
20200827,13
20200828,21
20200829,17
20200830,15
20200831,11
20200901,17
20200902,12
20200903,11
20200904,14
20200905,15
20200906,17
20200907,8
20200908,12
20200909,14
20200910,13
20200911,16
20200912,18
20200913,20
20200914,20
20200915,20
20200916,23
20200917,14
20200918,10
20200919,15
20200920,16
20200921,10
20200922,13
20200923,22
20200924,17
20200925,9
20200926,20
20200927,9
20200928,27
20200929,17
20200930,18
20201001,19
20201002,20
20201003,20
20201004,25
20201005,17
20201006,20
20201007,19
20201008,22
20201009,15
20201010,20
20201011,8
20201012,26
20201013,19
20201014,18
20201015,21
20201016,13
20201017,24
20201018,16
20201019,20
20201020,20
20201021,17
20201022,15
20201023,17
20201024,15
20201025,30
20201026,19
20201027,18
20201028,9
20201029,9
20201030,22
20201031,18
20201101,13
20201102,16
20201103,22
20201104,20
20201105,11
20201106,18
20201107,22
20201108,24
20201109,20
20201110,14
20201111,21
20201112,23
20201113,17
20201114,12
20201115,21
20201116,18
20201117,13
20201118,17
20201119,33
20201120,23
20201121,25
20201122,23
20201123,19
20201124,29
20201125,17
20201126,14
20201127,24
20201128,22
20201129,16
20201130,10
20201201,17
20201202,27
20201203,18
20201204,20
20201205,28
20201206,23
20201207,22
20201208,28
20201209,28
20201210,36
20201211,18
20201212,37
20201213,44
20201214,30
20201215,36
20201216,24
20201217,28
20201218,35
20201219,32
20201220,35
20201221,36
20201222,30
20201223,45
20201224,22
20201225,18
20201226,25
20201227,38
20201228,34
20201229,35
20201230,39
20201231,25
20210101,24
20210102,26
20210103,26
20210104,24
20210105,48
20210106,63
20210107,56
20210108,40
20210109,48
20210110,54
20210111,35
20210112,29
20210113,28
20210114,17
20210115,26
20210116,35
20210117,32
20210118,30
20210119,31
20210120,26
20210121,19
20210122,31
20210123,26
20210124,27
20210125,20
20210126,17
20210127,16
20210128,27
20210129,42
20210130,27
20210131,29
20210201,25
20210202,17
20210203,20
20210204,28
20210205,28
20210206,25
20210207,24
